"name","id","properties"
"ApiManagement.GermanyNorth","ApiManagement.GermanyNorth","@{changeNumber=2; region=germanyn; regionId=72; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.GermanyWestCentral","ApiManagement.GermanyWestCentral","@{changeNumber=2; region=germanywc; regionId=71; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.JapanEast","ApiManagement.JapanEast","@{changeNumber=2; region=japaneast; regionId=24; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.JapanWest","ApiManagement.JapanWest","@{changeNumber=2; region=japanwest; regionId=25; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.KoreaCentral","ApiManagement.KoreaCentral","@{changeNumber=2; region=koreacentral; regionId=26; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.KoreaSouth","ApiManagement.KoreaSouth","@{changeNumber=1; region=koreasouth; regionId=50; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.NorthCentralUS","ApiManagement.NorthCentralUS","@{changeNumber=2; region=northcentralus; regionId=34; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.NorthEurope","ApiManagement.NorthEurope","@{changeNumber=2; region=northeurope; regionId=17; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.NorwayEast","ApiManagement.NorwayEast","@{changeNumber=2; region=norwaye; regionId=63; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.NorwayWest","ApiManagement.NorwayWest","@{changeNumber=2; region=norwayw; regionId=74; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SouthAfricaNorth","ApiManagement.SouthAfricaNorth","@{changeNumber=2; region=southafricanorth; regionId=82; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SouthAfricaWest","ApiManagement.SouthAfricaWest","@{changeNumber=2; region=southafricawest; regionId=83; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SouthCentralUS","ApiManagement.SouthCentralUS","@{changeNumber=2; region=southcentralus; regionId=35; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SouthIndia","ApiManagement.SouthIndia","@{changeNumber=2; region=southindia; regionId=22; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SoutheastAsia","ApiManagement.SoutheastAsia","@{changeNumber=2; region=southeastasia; regionId=2; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SwitzerlandNorth","ApiManagement.SwitzerlandNorth","@{changeNumber=2; region=switzerlandn; regionId=66; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.SwitzerlandWest","ApiManagement.SwitzerlandWest","@{changeNumber=2; region=switzerlandw; regionId=67; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.UAECentral","ApiManagement.UAECentral","@{changeNumber=2; region=uaecentral; regionId=61; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.UAENorth","ApiManagement.UAENorth","@{changeNumber=2; region=uaenorth; regionId=60; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.UKNorth","ApiManagement.UKNorth","@{changeNumber=2; region=uknorth; regionId=29; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.UKSouth","ApiManagement.UKSouth","@{changeNumber=2; region=uksouth; regionId=27; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.UKSouth2","ApiManagement.UKSouth2","@{changeNumber=2; region=uksouth2; regionId=30; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=}"
